| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| Java微服务开发（驻场） | 长沙·雨花区·雨花区政府 | 15-18K | 5-10年大专 | 天宇正清 | 计算机软件不需要融资500-999人 | https://www.zhipin.com/job_detail/13d1a6f74d31e94d1HBy0ty0FVJQ.html |
| Java开发工程师 | 长沙·岳麓区·王家湾 | 15-25K | 5-10年本科 | 雄帝科技 | 信息安全已上市500-999人 | https://www.zhipin.com/job_detail/19b808664763cc2e1Xd53NW0EVRW.html |
| java开发工程师 | 长沙·岳麓区·望城坡 | 10-15K | 5-10年大专 | 尚兴科技 | 互联网未融资20-99人 | https://www.zhipin.com/job_detail/339985b097218f461HJ80t-6FFRY.html |
| Java技术经理 | 长沙·天心区·省政府 | 15-30K | 1-3年本科 | 计支宝 | 计算机软件B轮100-499人 | https://www.zhipin.com/job_detail/586050e1780871091Xd-2NS_E1BX.html |
| java开发工程师 | 长沙 | 17-25K·15薪 | 3-5年本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/e15067dffed3066c1HNy3dW6GFNT.html |
| Java开发工程师 | 长沙·岳麓区·银盆岭 | 14-17K·13薪 | 5-10年本科 | 竟网科技 | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/c2cda91fed29d5380XV92NS9Elc~.html |
| Java高级开发工程师 | 长沙·雨花区·人民中路 | 10-15K·14薪 | 5-10年本科 | 骅骓科技 | 计算机软件20-99人 | https://www.zhipin.com/job_detail/268decd7c53f49601Hd53N-9GVNW.html |
| Java开发工程师 | 长沙·岳麓区·麓谷 | 17-22K | 5-10年本科 | 兰海信息 | 电子商务100-499人 | https://www.zhipin.com/job_detail/6517bc4cb9b64bb70Xx829q5EFs~.html |
| Java | 长沙·岳麓区·望城坡 | 15-30K·13薪 | 5-10年本科 | 华盛通 | 互联网不需要融资500-999人 | https://www.zhipin.com/job_detail/fc8293954745a59d1HR92Nm_FFdY.html |
| Java架构师/技术经理-地域不限远程办公 | 长沙·芙蓉区·五一广场 | 15-30K | 5-10年本科 | 峪泰 | 电子商务100-499人 | https://www.zhipin.com/job_detail/d6b38d1dc92226ea1n1_0ty9E1dW.html |
| java研发工程师 | 长沙 | 20-30K·15薪 | 3-5年本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/445de3ed8fa93b581HN63tW7EFVX.html |
| 高级Java工程师 | 长沙 | 18-35K·15薪 | 5-10年本科 | 某大型互联网公司 | 互联网100-499人 | https://www.zhipin.com/job_detail/159f1bb9d31787fe1HV509W5GFtY.html |
| 高级java游戏开发工程师 | 长沙·开福区·湘江中路 | 10-15K | 5-10年本科 | 奇葩斗斗 | 游戏100-499人 | https://www.zhipin.com/job_detail/1021c766621436281HB729S8GVRQ.html |
| Java开发工程师 | 长沙·岳麓区·望城坡 | 15-24K | 5-10年本科 | 湘邮科技 | 计算机服务已上市100-499人 | https://www.zhipin.com/job_detail/314c258019cbcab71HB939i_F1BX.html |
| java高级研发工程师 | 长沙 | 17-25K | 3-5年本科 | 某银行公司 | 银行20-99人 | https://www.zhipin.com/job_detail/295b7da5f49cbdd91Hx42N-4EVRV.html |
| 高级java开发工程师 | 长沙·岳麓区·银盆岭 | 10-15K | 5-10年本科 | 湖南名扬共创科技 | 快递不需要融资100-499人 | https://www.zhipin.com/job_detail/8f634c1bcf8f321f1Hx639q1E1VT.html |
| Java 数字马力java工程师 | 长沙·岳麓区·麓山路 | 19-35K | 3-5年本科 | 蚂蚁集团 | 互联网D轮及以上10000人以上 | https://www.zhipin.com/job_detail/441c7643339dc6ad1HB429S8GVJS.html |
| 中高级Java开发工程师（技术Springcloud） | 长沙·岳麓区·望城坡 | 15-20K | 5-10年本科 | 希尚科技 | 互联网B轮100-499人 | https://www.zhipin.com/job_detail/64ee06d17c82da481Xd_3ti-FVZQ.html |
