| 岗位 | 区域 | 薪资 | 年限信息 | 公司名称 | 公司信息 | 链接 |
| java技术经理 | 北京·海淀区·上地 | 18-24K·14薪 | 5-10年大专 | 数场科技 | 大数据天使轮0-20人 | https://www.zhipin.com/job_detail/a0a7de8d9248c8eb1HF52d65EFVY.html |
| java开发工程师 | 北京·海淀区·西北旺 | 16-25K | 5-10年本科 | 谐云 | 计算机软件B轮100-499人 | https://www.zhipin.com/job_detail/323640cf0589e78d1HN52t6_E1tS.html |
| java开发（京东） | 北京 | 17-23K | 5-10年本科 | 人瑞集团 | 互联网500-999人 | https://www.zhipin.com/job_detail/4e1d0c1dced639e31HNy29-8F1ZU.html |
| 高级Java工程师 | 北京 | 20-27K | 5-10年本科 | 海新睿 | 人工智能不需要融资20-99人 | https://www.zhipin.com/job_detail/d50493946e2ae6181Hx_29i0EVZS.html |
| JAVA开发工程师 | 北京·朝阳区·朝外 | 20-40K | 5-10年本科 | 北京海核航能燃料... | 其他新能源天使轮20-99人 | https://www.zhipin.com/job_detail/3bf9b7feee68fb531Hx539m7FVtR.html |
| 高级java开发工程师 | 北京·朝阳区·国展 | 20-28K | 5-10年本科 | 置威科技 | 房地产开发经营不需要融资100-499人 | https://www.zhipin.com/job_detail/ca60f40f5aa4173e1HFy09y7FFZR.html |
| 中/高级java工程师 | 北京·朝阳区·望京 | 18-23K·13薪 | 5-10年本科 | 爱知之星 | 计算机软件已上市100-499人 | https://www.zhipin.com/job_detail/c57da8a5c60d74da1HN83d26E1dR.html |
| java(气象局项目) | 北京·海淀区·中关村 | 18-22K | 5-10年本科 | 神州在线 | 企业服务未融资100-499人 | https://www.zhipin.com/job_detail/3bb7fa12aea3a3621Hx809u4GFFW.html |
| 资深Java游戏服务器开发 | 北京·朝阳区·望京 | 35-50K·15薪 | 5-10年本科 | Garena | 游戏已上市1000-9999人 | https://www.zhipin.com/job_detail/07aaf1c1ea86e43a1Hx_39S4EVtW.html |
| java组长 | 北京·海淀区·学院路 | 40-60K·14薪 | 5-10年本科 | 点众科技 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/c8aa0aaee6cb11451HF529-5EFRU.html |
| java开发 | 北京·昌平区·回龙观 | 15-23K·14薪 | 5-10年本科 | 天津奥津网络技术 | 互联网C轮100-499人 | https://www.zhipin.com/job_detail/c71b62972e45f42b1HN40t-6GVRX.html |
| Java | 北京 | 30-50K·17薪 | 5-10年本科 | 某中型互联网金融科技公司 | 互联网不需要融资500-999人 | https://www.zhipin.com/job_detail/bb845b8099133cf01HN50ti6FVVQ.html |
| Java专家 | 北京 | 40-60K | 5-10年本科 | 某大型互联网商业信息查询服务公司 | 互联网不需要融资1000-9999人 | https://www.zhipin.com/job_detail/deac2272c140a2b01Hx739-4FlFW.html |
| java开发 | 北京 | 20-30K | 5-10年本科 | 某大型通信公司 | 通信/网络设备500-999人 | https://www.zhipin.com/job_detail/5dfe25d71f1408ac1HJ929i5E1BW.html |
| 高级java开发 | 北京·朝阳区·团结湖 | 20-40K·16薪 | 5-10年本科 | 瓴岳科技 | 互联网金融不需要融资1000-9999人 | https://www.zhipin.com/job_detail/e1859a973b1c9e301HN_3d60F1tW.html |
| java开发工程师 | 北京 | 25-40K·14薪 | 5-10年本科 | 某知名互联网公司 | 互联网D轮及以上1000-9999人 | https://www.zhipin.com/job_detail/e7d3405e1aa0d74a1HFy3dm1GVVT.html |
| Java研发经理 | 北京·朝阳区·大屯 | 30-35K | 5-10年本科 | 北京智和信通技术... | 计算机软件不需要融资20-99人 | https://www.zhipin.com/job_detail/094ef9655fdf39741n1-29m7FVFZ.html |
| 高级Java开发 | 北京·朝阳区·望京 | 25-35K·13薪 | 5-10年本科 | 一和负一智能科技 | 大数据不需要融资0-20人 | https://www.zhipin.com/job_detail/227bc83498debb5d1Hx709i_GFVT.html |
| java | 北京 | 25-40K·15薪 | 5-10年本科 | 某中型互联网金融科技公司 | 互联网不需要融资500-999人 | https://www.zhipin.com/job_detail/4fd6e7cfd89ccf901Hx63d-_F1NQ.html |
| Java开发工程师 | 北京·朝阳区·来广营 | 15-25K | 5-10年本科 | 东方国信 | 计算机软件已上市1000-9999人 | https://www.zhipin.com/job_detail/2ba3a2b366bf08e21XR63du7GFBS.html |
| JAVA | 北京·朝阳区·草房 | 20-30K | 5-10年本科 | 开运联合 | 铁路/船舶/航空/航天制造未融资100-499人 | https://www.zhipin.com/job_detail/7e133086b4148aa21Hdy2d68GFZZ.html |
| Java工程师-借贷 | 北京 | 40-70K·16薪 | 5-10年本科 | 某互联网金融公司 | 互联网金融0-20人 | https://www.zhipin.com/job_detail/724cff7ac6b485911HN709u5FVRU.html |
| Java | 北京·朝阳区·百子湾 | 30-40K | 5-10年本科 | 粒度 | 社交网络与媒体20-99人 | https://www.zhipin.com/job_detail/bacc72d89986a9211XR53d20EVZW.html |
| JAVA 开发工程师 | 北京·海淀区·上地 | 25-35K | 5-10年本科 | 北京51Talk | 在线教育已上市1000-9999人 | https://www.zhipin.com/job_detail/c4d73196eedfa4a71HB52tm5F1ZT.html |
| 资深 Java 工程师 | 北京·朝阳区·高碑店 | 30-35K·13薪 | 5-10年本科 | 海致星图 | 计算机软件D轮及以上500-999人 | https://www.zhipin.com/job_detail/465788fa0d6ea3391HF80t-4E1FR.html |
